epoch,train_loss,train_acc,val_loss,val_acc
1,1.9486103622436524,0.2751,1.8433011016845704,0.30199999976158143
2,1.760922265625,0.3359,1.6958437356948852,0.37999999976158144
3,1.6441071781158447,0.39355,1.6857416477203369,0.4020000007152557
4,1.5587151998519897,0.4244,1.581395975112915,0.43050000023841856
5,1.4799663619995118,0.4597,1.5039774837493896,0.4705
6,1.4220322538375854,0.48325,1.4563272342681886,0.487
7,1.3716995414733886,0.5016,1.384926866531372,0.5165000002384186
8,1.3480349224090575,0.5103,1.347452254295349,0.5269999995231628
9,1.3218494928359985,0.5222,1.343982048034668,0.5335
10,1.3069809915542603,0.5274,1.3487687244415283,0.5344999995231628
